European,Canadian,Japanese,6.19,5.49,4.79,Rich full bodied,Regular,Crisp and clear,Strong,Mild,Very mild,Full,Regular,Low,Six 12Oz Large,Six 12Oz Small,Four 16Oz,Green Label,Brown Label,Brown Painted
24,0,8,12,10,0,0,10,6,16,13,0,8,0,10,19,0,18,0,5,8
14,0,10,2,8,0,0,3,17,0,6,1,1,0,24,16,0,13,0,12,14
0,13,11,0,9,19,2,0,11,7,17,0,0,12,7,14,0,17,9,0,11
17,0,20,11,11,0,15,0,10,0,19,18,0,13,5,9,0,8,7,0,14
12,18,0,0,10,16,14,0,3,0,19,31,3,6,0,1,0,4,6,0,11
24,1,0,5,2,0,32,0,19,0,16,11,12,0,3,2,0,2,0,2,9
20,0,19,0,9,3,2,0,13,1,8,0,3,13,0,13,4,0,0,18,24
0,10,14,20,0,23,0,0,4,14,14,0,0,25,17,0,10,14,6,1,0
18,3,0,0,2,6,8,0,14,0,8,5,0,21,11,13,6,0,0,13,18
3,22,0,0,25,22,0,1,4,0,2,4,0,3,9,20,0,18,15,0,15
0,14,1,20,15,0,12,0,9,0,4,8,0,15,12,11,16,0,15,0,9
13,0,2,7,21,0,0,5,12,0,3,1,8,15,0,19,6,0,0,8,18
3,0,15,0,3,5,6,6,0,2,0,1,0,28,8,5,0,11,0,18,32
0,17,1,8,0,6,9,9,0,23,0,11,0,23,22,0,14,11,5,2,0
18,9,0,0,1,9,5,0,16,0,22,8,0,6,2,13,0,27,0,1,3
14,7,0,1,0,0,28,0,19,0,19,14,2,0,14,10,2,0,0,2,13
23,0,15,5,9,0,12,0,13,0,16,1,10,1,0,13,0,1,0,12,16
6,13,0,0,1,13,0,7,5,0,5,19,0,14,0,15,0,14,0,17,20
0,10,1,0,10,13,21,0,13,0,10,10,0,8,27,14,0,13,2,0,6
0,23,11,1,3,0,5,7,0,23,0,4,0,27,28,0,6,11,1,0,3
10,0,8,12,16,0,14,0,17,0,9,6,16,0,15,25,0,10,2,0,8
21,0,1,6,0,2,27,0,3,0,16,5,5,0,5,18,0,15,0,2,7
22,0,20,8,9,0,0,2,3,12,9,0,1,7,0,23,6,0,0,4,24
0,24,8,0,33,26,1,4,0,11,0,12,0,3,1,11,0,9,9,0,12
16,0,16,0,4,10,14,0,8,0,23,10,22,1,0,13,0,5,2,0,1
3,21,0,0,1,5,4,8,0,16,0,22,18,0,6,5,23,0,1,0,3
35,0,29,5,13,0,11,0,9,12,5,0,4,0,1,9,0,5,0,12,17
13,0,3,0,6,3,13,0,9,0,9,5,0,24,20,17,0,0,0,12,17
6,0,2,16,0,25,13,5,0,13,0,4,0,0,11,14,0,6,0,19,11
9,0,24,2,0,1,0,10,10,27,6,0,12,0,18,9,0,8,11,7,0
14,0,6,16,2,0,8,0,13,0,27,7,10,0,3,14,0,10,5,0,5
26,0,10,0,0,0,0,10,11,0,6,4,0,20,13,17,1,0,0,19,20
0,5,13,0,3,9,0,14,10,2,0,0,0,1,19,30,0,4,0,13,3
0,15,8,0,15,14,10,0,16,3,20,0,5,3,0,11,0,14,13,0,14
0,21,6,0,27,21,0,7,7,7,0,8,0,6,4,14,0,13,11,0,16
9,0,11,6,3,0,21,0,8,0,9,5,33,0,22,15,0,11,5,2,0
20,14,0,0,13,14,18,0,7,0,7,4,0,11,12,0,16,8,0,13,10
15,0,6,3,14,0,0,3,20,0,14,4,0,17,15,7,3,0,0,8,13
12,0,5,6,11,0,1,10,0,13,26,0,2,7,0,0,4,17,0,15,18
9,0,10,0,7,1,20,0,9,0,17,2,30,4,0,4,0,7,0,3,9
16,1,0,0,3,12,1,0,13,6,9,0,0,23,10,14,3,0,0,7,14
25,0,32,9,4,0,9,0,7,4,7,0,8,0,5,18,4,0,18,7,0
0,24,0,0,6,8,2,3,0,4,0,10,0,21,14,0,4,5,0,20,28
1,0,1,0,5,4,41,0,8,13,18,0,16,0,5,8,1,0,0,10,5
11,0,12,0,2,4,38,1,0,7,0,4,0,5,9,17,0,12,0,8,13
4,0,8,5,3,0,11,0,18,10,23,0,13,2,0,6,0,12,21,0,11
17,0,5,11,4,0,6,0,3,0,15,7,28,0,10,10,0,1,0,14,8
0,17,10,0,31,25,0,0,7,12,0,11,0,5,6,15,0,9,7,0,14
2,0,12,0,3,9,0,8,11,11,14,0,0,17,1,10,0,19,0,1,17
16,0,10,0,5,2,17,0,4,0,7,3,0,25,23,14,0,8,0,10,16
